Autism: Akkermansia, Peptostreptococcaceae, Alistipes, Clostridium, Rothia, Bacteroides vulgatus, Bilophila, Escherichia coli, Ruminococcus gnavus, Lachnospira, Dorea, Porphyromonas, Klebsiella, Lachnospiraceae, Eubacterium, Eubacterium rectale, Bacteroides fragilis, Actinomyces, Faecalibacterium prausnitzii, Ruminococcaceae
Extrinsic black stain: Moraxella, Selenomonas, Firmicutes, Propionibacterium, Peptostreptococcus, Capnocytophaga, Campylobacter, Propionibacterium acnes, Aggregatibacter, Lactobacillus crispatus, Treponema, Streptococcus anginosus, Peptoniphilus, Streptococcus pneumoniae, Staphylococcus epidermidis, Comamonas, Atopobium, Prevotella nanceiensis, Streptococcus salivarius, Veillonella dispar
Meningococcal disease: Campylobacter, Propionibacterium, Alloprevotella, Propionibacterium acnes, Treponema, Actinobacteria, Moraxella, Atopobium, Aggregatibacter, Capnocytophaga, Ruminococcus gnavus, Firmicutes, Gemella, Peptostreptococcus, Coprobacillus, Selenomonas, Pseudomonas, Proteobacteria, Peptoniphilus, Streptococcus salivarius
Neuro-Behcet's disease: Moraxella, Selenomonas, Propionibacterium, Firmicutes, Peptostreptococcus, Capnocytophaga, Streptococcus pneumoniae, Propionibacterium acnes, Lactobacillus crispatus, Streptococcus anginosus, Prevotella nanceiensis, Comamonas, Staphylococcus epidermidis, Peptoniphilus, Treponema, Campylobacter, Streptococcus salivarius, Aggregatibacter, Fusobacterium nucleatum, Streptococcus parasanguinis
Miscarriage: Faecalibacterium, Bacteroides, Bifidobacterium, Parabacteroides, Roseburia, Ruminococcus, Enterobacteriaceae, Prevotella, Enterococcus, Streptococcus, Clostridium, Lactobacillus, Blautia, Ruminococcaceae, Coprococcus, Alistipes, Faecalibacterium prausnitzii, Dorea, Anaerostipes, Klebsiella
Huntington's Disease: Ruminococcus gnavus, Rothia, Collinsella, Neisseria, Alloprevotella, Lachnospira, Megamonas, Oscillibacter, Proteobacteria, Gemella, Actinobacteria, Staphylococcus, Campylobacter, Anaerotruncus, Atopobium, Bilophila, Pseudomonas, Porphyromonas, Granulicatella, Eubacterium
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy: Megamonas, Campylobacter, Proteobacteria, Aggregatibacter, Atopobium, Actinobacteria, Firmicutes, Collinsella, Ruminococcus gnavus, Neisseria, Gemella, Moraxella, Oscillibacter, Lachnoclostridium, Alloprevotella, Coprobacillus, Propionibacterium, Staphylococcus, Rothia, Clostridiales
Kaposi's sarcoma: Megamonas, Clostridium, Roseburia, Parabacteroides, Alistipes, Dorea, Enterobacteriaceae, Blautia, Akkermansia, Corynebacterium, Klebsiella, Ruminococcus, Porphyromonas, Anaerostipes, Rothia, Fusobacterium, Collinsella, Enterococcus, Phascolarctobacterium, Ruminococcaceae
Ischemic stroke: Clostridium, Alistipes, Roseburia, Parabacteroides, Enterobacteriaceae, Megamonas, Dorea, Akkermansia, Klebsiella, Blautia, Anaerostipes, Corynebacterium, Porphyromonas, Enterococcus, Rothia, Ruminococcus, Collinsella, Fusobacterium, Phascolarctobacterium, Ruminococcaceae
Wiskott-Aldrich syndrome: Campylobacter, Megamonas, Aggregatibacter, Atopobium, Firmicutes, Moraxella, Actinobacteria, Proteobacteria, Gemella, Propionibacterium, Ruminococcus gnavus, Alloprevotella, Collinsella, Coprobacillus, Neisseria, Treponema, Oscillibacter, Lachnoclostridium, Clostridiales, Staphylococcus
Severe congenital neutropenia: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Capnocytophaga, Peptostreptococcus, Aggregatibacter, Propionibacterium acnes, Treponema, Peptoniphilus, Atopobium, Lactobacillus crispatus, Streptococcus anginosus, Streptococcus pneumoniae, Actinobacteria, Staphylococcus epidermidis, Comamonas, Coprobacillus, Prevotella nanceiensis
Vestibulodynia: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Aggregatibacter, Selenomonas, Capnocytophaga, Atopobium, Actinobacteria, Treponema, Propionibacterium acnes, Peptostreptococcus, Coprobacillus, Peptoniphilus, Clostridiales, Alloprevotella, Proteobacteria, Streptococcus anginosus, Lactobacillus crispatus, Staphylococcus epidermidis
Hyperglycemia: Clostridium, Roseburia, Parabacteroides, Enterobacteriaceae, Alistipes, Dorea, Blautia, Ruminococcus, Enterococcus, Megamonas, Akkermansia, Klebsiella, Anaerostipes, Faecalibacterium, Corynebacterium, Ruminococcaceae, Porphyromonas, Rothia, Fusobacterium, Phascolarctobacterium
Antrochoanal polyps: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Prevotella nanceiensis, Peptostreptococcus, Streptococcus sanguinis, Lactobacillus crispatus, Moraxella, Streptococcus anginosus, Propionibacterium, Capnocytophaga, Comamonas, Staphylococcus aureus, Psychrobacter, Fusobacterium nucleatum, Gardnerella vaginalis, Staphylococcus epidermidis, Streptococcus parasanguinis, Streptococcus oralis, Propionibacterium acnes
Primary immune thrombocytopenia: Moraxella, Selenomonas, Propionibacterium, Streptococcus pneumoniae, Firmicutes, Peptostreptococcus, Capnocytophaga, Lactobacillus crispatus, Prevotella nanceiensis, Streptococcus anginosus, Propionibacterium acnes, Comamonas, Staphylococcus epidermidis, Peptoniphilus, Treponema, Fusobacterium nucleatum, Streptococcus salivarius, Streptococcus parasanguinis, Veillonella dispar, Campylobacter
Spleen deficiency syndrome: Selenomonas, Streptococcus pneumoniae, Moraxella, Prevotella nanceiensis, Peptostreptococcus, Lactobacillus crispatus, Streptococcus anginosus, Haemophilus influenzae, Propionibacterium, Capnocytophaga, Comamonas, Streptococcus sanguinis, Staphylococcus aureus, Fusobacterium nucleatum, Staphylococcus epidermidis, Psychrobacter, Propionibacterium acnes, Streptococcus parasanguinis, Streptococcus oralis, Streptococcus salivarius
Pulmonary arterial hypertension: Ruminococcus gnavus, Alloprevotella, Oscillibacter, Rothia, Collinsella, Neisseria, Lachnospira, Anaerotruncus, Actinobacteria, Bilophila, Gemella, Granulicatella, Pseudomonas, Escherichia coli, Propionibacterium acnes, Treponema, Proteobacteria, Staphylococcus, Eubacterium, Atopobium
Acute fatty liver: Moraxella, Selenomonas, Firmicutes, Propionibacterium, Peptostreptococcus, Streptococcus pneumoniae, Capnocytophaga, Lactobacillus crispatus, Prevotella nanceiensis, Streptococcus anginosus, Propionibacterium acnes, Peptoniphilus, Comamonas, Treponema, Staphylococcus epidermidis, Campylobacter, Aggregatibacter, Fusobacterium nucleatum, Streptococcus salivarius, Veillonella dispar
Excessive vomiting: Moraxella, Selenomonas, Firmicutes, Propionibacterium, Peptostreptococcus, Streptococcus pneumoniae, Capnocytophaga, Lactobacillus crispatus, Streptococcus anginosus, Prevotella nanceiensis, Propionibacterium acnes, Peptoniphilus, Comamonas, Treponema, Staphylococcus epidermidis, Campylobacter, Aggregatibacter, Fusobacterium nucleatum, Streptococcus salivarius, Veillonella dispar
Chronic stress: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Selenomonas, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Atopobium, Treponema, Propionibacterium acnes, Actinobacteria, Peptoniphilus, Coprobacillus, Clostridiales, Streptococcus anginosus, Lactobacillus crispatus, Staphylococcus epidermidis, Streptococcus salivarius, Alloprevotella
Acute lymphoblastic leukemia: Parabacteroides, Roseburia, Faecalibacterium, Clostridium, Enterobacteriaceae, Ruminococcus, Blautia, Enterococcus, Alistipes, Bifidobacterium, Dorea, Bacteroides, Ruminococcaceae, Klebsiella, Akkermansia, Anaerostipes, Corynebacterium, Megamonas, Porphyromonas, Fusobacterium
Biliary tract cancer: Megamonas, Campylobacter, Proteobacteria, Collinsella, Ruminococcus gnavus, Actinobacteria, Atopobium, Neisseria, Aggregatibacter, Oscillibacter, Gemella, Rothia, Lachnoclostridium, Staphylococcus, Alloprevotella, Firmicutes, Lachnospira, Corynebacterium, Phascolarctobacterium, Anaerotruncus
Kidney stone with hypertension: Selenomonas, Streptococcus pneumoniae, Haemophilus influenzae, Streptococcus sanguinis, Prevotella nanceiensis, Lactobacillus crispatus, Streptococcus anginosus, Psychrobacter, Staphylococcus aureus, Peptostreptococcus, Comamonas, Capnocytophaga, Fusobacterium nucleatum, Streptococcus oralis, Staphylococcus epidermidis, Gardnerella vaginalis, Streptococcus salivarius, Enhydrobacter, Propionibacterium, Moraxella
Bleeding gum: Moraxella, Firmicutes, Campylobacter, Propionibacterium, Selenomonas, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Atopobium, Treponema, Actinobacteria, Propionibacterium acnes, Peptoniphilus, Coprobacillus, Streptococcus anginosus, Lactobacillus crispatus, Gemella, Alloprevotella, Streptococcus salivarius, Staphylococcus epidermidis
Cystic fibrosis exacerbation: Selenomonas, Moraxella, Streptococcus pneumoniae, Peptostreptococcus, Propionibacterium, Capnocytophaga, Lactobacillus crispatus, Streptococcus anginosus, Prevotella nanceiensis, Comamonas, Firmicutes, Propionibacterium acnes, Staphylococcus epidermidis, Fusobacterium nucleatum, Peptoniphilus, Streptococcus salivarius, Streptococcus sanguinis, Veillonella dispar, Streptococcus parasanguinis, Treponema
Stevens-Johnson syndrome: Rothia, Akkermansia, Clostridium, Alistipes, Porphyromonas, Dorea, Klebsiella, Collinsella, Ruminococcus gnavus, Lachnospira, Lachnospiraceae, Neisseria, Anaerostipes, Enterobacteriaceae, Corynebacterium, Ruminococcaceae, Subdoligranulum, Fusobacterium, Enterococcus, Eubacterium
Pressure ulcers: Selenomonas, Propionibacterium acnes, Propionibacterium, Peptostreptococcus, Capnocytophaga, Streptococcus anginosus, Moraxella, Lactobacillus crispatus, Treponema, Streptococcus salivarius, Veillonella dispar, Staphylococcus epidermidis, Peptoniphilus, Comamonas, Alloprevotella, Bulleidia, Firmicutes, Bacteriodes uniformis, Campylobacter, Proteus
Genitourinary lichen sclerosus: Moraxella, Selenomonas, Propionibacterium, Firmicutes, Streptococcus pneumoniae, Peptostreptococcus, Capnocytophaga, Lactobacillus crispatus, Propionibacterium acnes, Streptococcus anginosus, Prevotella nanceiensis, Comamonas, Staphylococcus epidermidis, Peptoniphilus, Treponema, Streptococcus salivarius, Fusobacterium nucleatum, Campylobacter, Streptococcus parasanguinis, Aggregatibacter
Folliculitis decalvans: Moraxella, Selenomonas, Firmicutes, Propionibacterium, Streptococcus pneumoniae, Peptostreptococcus, Capnocytophaga, Prevotella nanceiensis, Lactobacillus crispatus, Propionibacterium acnes, Campylobacter, Streptococcus anginosus, Aggregatibacter, Peptoniphilus, Treponema, Comamonas, Staphylococcus epidermidis, Fusobacterium nucleatum, Streptococcus parasanguinis, Streptococcus salivarius
Nasolacrimal duct obstruction: Megamonas, Collinsella, Proteobacteria, Neisseria, Campylobacter, Rothia, Corynebacterium, Ruminococcus gnavus, Phascolarctobacterium, Oscillibacter, Porphyromonas, Actinobacteria, Akkermansia, Atopobium, Lachnospira, Lachnoclostridium, Aggregatibacter, Fusobacterium, Alistipes, Staphylococcus
Chronic urticaria: Campylobacter, Moraxella, Firmicutes, Aggregatibacter, Atopobium, Actinobacteria, Propionibacterium, Megamonas, Proteobacteria, Treponema, Coprobacillus, Gemella, Alloprevotella, Capnocytophaga, Propionibacterium acnes, Clostridiales, Ruminococcus gnavus, Peptostreptococcus, Selenomonas, Peptoniphilus
Migraine: Rothia, Akkermansia, Collinsella, Ruminococcus gnavus, Alistipes, Porphyromonas, Dorea, Clostridium, Megamonas, Klebsiella, Neisseria, Lachnospira, Corynebacterium, Phascolarctobacterium, Anaerostipes, Oscillibacter, Subdoligranulum, Shigella, Eubacterium, Fusobacterium
Idiopathic central precocious puberty: Selenomonas, Moraxella, Streptococcus pneumoniae, Propionibacterium, Peptostreptococcus, Capnocytophaga, Firmicutes, Lactobacillus crispatus, Prevotella nanceiensis, Streptococcus anginosus, Comamonas, Propionibacterium acnes, Staphylococcus epidermidis, Peptoniphilus, Fusobacterium nucleatum, Streptococcus salivarius, Treponema, Veillonella dispar, Streptococcus parasanguinis, Streptococcus sanguinis
Human end-stage renal disease: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Propionibacterium, Atopobium, Actinobacteria, Treponema, Capnocytophaga, Selenomonas, Peptostreptococcus, Propionibacterium acnes, Coprobacillus, Peptoniphilus, Proteobacteria, Gemella, Alloprevotella, Clostridiales, Megamonas, Streptococcus anginosus
Gastrointestinal follicular lymphoma: Moraxella, Selenomonas, Propionibacterium, Firmicutes, Peptostreptococcus, Streptococcus pneumoniae, Capnocytophaga, Propionibacterium acnes, Lactobacillus crispatus, Streptococcus anginosus, Prevotella nanceiensis, Comamonas, Staphylococcus epidermidis, Peptoniphilus, Treponema, Streptococcus salivarius, Fusobacterium nucleatum, Campylobacter, Streptococcus parasanguinis, Aggregatibacter
Invasive colorectal cancer: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Selenomonas, Aggregatibacter, Capnocytophaga, Atopobium, Peptostreptococcus, Treponema, Actinobacteria, Propionibacterium acnes, Peptoniphilus, Coprobacillus, Streptococcus anginosus, Lactobacillus crispatus, Alloprevotella, Clostridiales, Gemella, Staphylococcus epidermidis
E-smoking: Selenomonas, Streptococcus pneumoniae, Moraxella, Peptostreptococcus, Lactobacillus crispatus, Streptococcus anginosus, Capnocytophaga, Propionibacterium, Prevotella nanceiensis, Comamonas, Haemophilus influenzae, Fusobacterium nucleatum, Staphylococcus epidermidis, Propionibacterium acnes, Staphylococcus aureus, Streptococcus sanguinis, Veillonella dispar, Streptococcus salivarius, Firmicutes, Peptoniphilus
Traumatic Brain Injury: Megamonas, Alistipes, Collinsella, Akkermansia, Clostridium, Corynebacterium, Dorea, Rothia, Phascolarctobacterium, Porphyromonas, Klebsiella, Enterobacteriaceae, Roseburia, Anaerostipes, Blautia, Neisseria, Fusobacterium, Subdoligranulum, Parabacteroides, Ruminococcaceae
Oropharyngeal cancer: Moraxella, Campylobacter, Propionibacterium, Aggregatibacter, Firmicutes, Atopobium, Treponema, Capnocytophaga, Peptostreptococcus, Propionibacterium acnes, Actinobacteria, Selenomonas, Alloprevotella, Gemella, Peptoniphilus, Veillonella dispar, Streptococcus anginosus, Lactobacillus crispatus, Coprobacillus, Ruminococcus gnavus
Hypopharyngeal cancer: Moraxella, Selenomonas, Propionibacterium, Peptostreptococcus, Capnocytophaga, Firmicutes, Propionibacterium acnes, Treponema, Campylobacter, Streptococcus anginosus, Lactobacillus crispatus, Aggregatibacter, Veillonella dispar, Peptoniphilus, Atopobium, Streptococcus salivarius, Actinobacteria, Staphylococcus epidermidis, Alloprevotella, Comamonas
Neisseria gonorrhoeae infection: Selenomonas, Moraxella, Propionibacterium, Peptostreptococcus, Capnocytophaga, Propionibacterium acnes, Streptococcus anginosus, Lactobacillus crispatus, Firmicutes, Staphylococcus epidermidis, Treponema, Comamonas, Streptococcus salivarius, Peptoniphilus, Veillonella dispar, Streptococcus pneumoniae, Campylobacter, Bulleidia, Prevotella nanceiensis, Fusobacterium nucleatum
Dry eye syndrome: Akkermansia, Rothia, Clostridium, Alistipes, Collinsella, Dorea, Porphyromonas, Megamonas, Klebsiella, Corynebacterium, Anaerostipes, Enterobacteriaceae, Phascolarctobacterium, Neisseria, Ruminococcus gnavus, Fusobacterium, Subdoligranulum, Lachnospira, Lachnospiraceae, Ruminococcaceae
Vulvodynia: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Selenomonas, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Propionibacterium acnes, Treponema, Atopobium, Actinobacteria, Coprobacillus, Peptoniphilus, Clostridiales, Lactobacillus crispatus, Streptococcus anginosus, Staphylococcus epidermidis, Streptococcus salivarius, Alloprevotella
Normal weight obesity: Moraxella, Selenomonas, Firmicutes, Propionibacterium, Peptostreptococcus, Capnocytophaga, Propionibacterium acnes, Streptococcus pneumoniae, Lactobacillus crispatus, Streptococcus anginosus, Campylobacter, Peptoniphilus, Treponema, Prevotella nanceiensis, Comamonas, Aggregatibacter, Staphylococcus epidermidis, Streptococcus salivarius, Fusobacterium nucleatum, Veillonella dispar
Fatigue: Megamonas, Roseburia, Clostridium, Parabacteroides, Alistipes, Enterobacteriaceae, Blautia, Dorea, Akkermansia, Ruminococcus, Corynebacterium, Klebsiella, Anaerostipes, Porphyromonas, Enterococcus, Phascolarctobacterium, Collinsella, Rothia, Ruminococcaceae, Fusobacterium
Covid-19: Rothia, Akkermansia, Clostridium, Alistipes, Porphyromonas, Collinsella, Dorea, Ruminococcus gnavus, Klebsiella, Lachnospira, Neisseria, Anaerostipes, Corynebacterium, Fusobacterium, Lachnospiraceae, Phascolarctobacterium, Subdoligranulum, Enterobacteriaceae, Megamonas, Eubacterium
H1N1 Influenza: Moraxella, Firmicutes, Propionibacterium, Selenomonas, Campylobacter, Capnocytophaga, Peptostreptococcus, Aggregatibacter, Propionibacterium acnes, Treponema, Atopobium, Peptoniphilus, Actinobacteria, Streptococcus anginosus, Lactobacillus crispatus, Coprobacillus, Staphylococcus epidermidis, Streptococcus salivarius, Comamonas, Veillonella dispar
Recurrent aphthous stomatitis : Moraxella, Selenomonas, Propionibacterium, Firmicutes, Peptostreptococcus, Capnocytophaga, Propionibacterium acnes, Lactobacillus crispatus, Streptococcus pneumoniae, Streptococcus anginosus, Treponema, Campylobacter, Peptoniphilus, Comamonas, Staphylococcus epidermidis, Aggregatibacter, Prevotella nanceiensis, Streptococcus salivarius, Fusobacterium nucleatum, Veillonella dispar
Cognitive impairment: Parabacteroides, Roseburia, Faecalibacterium, Enterobacteriaceae, Clostridium, Ruminococcus, Blautia, Enterococcus, Alistipes, Bifidobacterium, Bacteroides, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Akkermansia, Megamonas, Corynebacterium, Faecalibacterium prausnitzii, Porphyromonas
Sarcopenia: Alloprevotella, Ruminococcus gnavus, Oscillibacter, Actinobacteria, Lachnospira, Neisseria, Anaerotruncus, Gemella, Collinsella, Rothia, Granulicatella, Pseudomonas, Treponema, Propionibacterium acnes, Campylobacter, Bilophila, Atopobium, Staphylococcus, Proteobacteria, Flavonifractor
