Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Desulfosporosinus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Microcystis: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Methylobacter: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Shigella: Rheumatoid Arthritis, Chronic kidney disease, Systemic lupus erythematosus, Cirrhosis, HIV infection, Cystic Fibrosis, Behcet's Disease, Non-alcoholic fatty liver disease, Ulcerative Colitis, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Oral cancer, Autism spectrum disorders, Type 1 Diabetes, Type 2 Diabetes, Multiple Sclerosis, Obesity, Psoriasis, Inflammatory Bowel Disease, Asthma
Ruminococcus callidus: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Ulcerative Colitis, Colorectal cancer, Caries, Obesity, Psoriasis, periodontitis, Schizophrenia, Cirrhosis, Cystic Fibrosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Oral cancer
Ruminococcus bromii: Type 2 Diabetes, Cystic Fibrosis, Obesity, Crohn's Disease, HIV infection, Parkinson's Disease, Cirrhosis, Psoriasis, Caries, Ulcerative Colitis, periodontitis, Colorectal cancer, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Asthma, Schizophrenia, Rheumatoid Arthritis, Oral cancer, Systemic lupus erythematosus, Aggressive periodontitis
Fusobacterium: Chronic kidney disease, Rheumatoid Arthritis, Multiple Sclerosis, Systemic lupus erythematosus, Alcoholism, Behcet's Disease, Coronary artery disease, Hepatocellular cancer, Non-alcoholic fatty liver disease, Primary sclerosing cholangitis, Cirrhosis, Type 1 Diabetes, Inflammatory Bowel Disease, Chronic Obstructive Pulmonary Disease, Infantile eczema, Oral cancer, Autism spectrum disorders, Ankylosing spondylitis, HIV infection, Cystic Fibrosis
Parvimonas: Smoking, Sj?gren Syndrome, Chronic Obstructive Pulmonary Disease, Systemic lupus erythematosus, Cystic Fibrosis, Rheumatoid Arthritis, Obesity, Behcet's Disease, HIV infection, Oral cancer, Aggressive periodontitis, Type 2 Diabetes, Irritable Bowel Syndrome, Periodontal disease, Chronic kidney disease, Cirrhosis, Asthma, Psoriasis, Halitosis, Crohn's Disease
Peptostreptococcus: Cystic Fibrosis, Chronic Obstructive Pulmonary Disease, Smoking, Obesity, Aggressive periodontitis, Type 2 Diabetes, HIV infection, periodontitis, Systemic lupus erythematosus, Sj?gren Syndrome, Caries, Oral cancer, Rheumatoid Arthritis, Colorectal cancer, Irritable Bowel Syndrome, Periodontal disease, Crohn's Disease, Cirrhosis, Psoriasis, Parkinson's Disease
Dialister: Rheumatoid Arthritis, Cirrhosis, Chronic kidney disease, Systemic lupus erythematosus, Autism spectrum disorders, Ulcerative Colitis, HIV infection, Cystic Fibrosis, Oral cancer, Non-alcoholic fatty liver disease, Asthma, Type 2 Diabetes, Psoriasis, Chronic Obstructive Pulmonary Disease, Type 1 Diabetes, Behcet's Disease, Multiple Sclerosis, Crohn's Disease, Alcoholism, Obesity
Mobiluncus: Type 2 Diabetes, Crohn's Disease, periodontitis, Parkinson's Disease, Colorectal cancer, Caries, Obesity, Cystic Fibrosis, Psoriasis, HIV infection, Ulcerative Colitis, Cirrhosis, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism, Aggressive periodontitis, Oral cancer, Rheumatoid Arthritis
Erysipelotrichaceae incertae sedis: Type 2 Diabetes, periodontitis, Caries, Parkinson's Disease, Colorectal cancer, Crohn's Disease, Obesity, Cystic Fibrosis, Psoriasis, HIV infection, Cirrhosis, Ulcerative Colitis, Asthma, Schizophrenia, Irritable Bowel Syndrome, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Autism, Oral cancer, Rheumatoid Arthritis
Serratia: Type 2 Diabetes, Cystic Fibrosis, Obesity, HIV infection, Chronic Obstructive Pulmonary Disease, Crohn's Disease, Parkinson's Disease, Cirrhosis, periodontitis, Caries, Psoriasis, Irritable Bowel Syndrome, Aggressive periodontitis, Smoking, Colorectal cancer, Systemic lupus erythematosus, Rheumatoid Arthritis, Asthma, Oral cancer, Ulcerative Colitis
Proteus: Cystic Fibrosis, Obesity, Chronic Obstructive Pulmonary Disease, Type 2 Diabetes, HIV infection, Smoking, Systemic lupus erythematosus, Rheumatoid Arthritis, Irritable Bowel Syndrome, Aggressive periodontitis, Cirrhosis, Oral cancer, Crohn's Disease, Psoriasis, Sj?gren Syndrome, Caries, Parkinson's Disease, Asthma, periodontitis, Colorectal cancer
Pyramidobacter: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Obesity, Ulcerative Colitis, Cystic Fibrosis, Psoriasis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Aggressive periodontitis
Hallella: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, periodontitis, Caries, Colorectal cancer, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Aggressive periodontitis, Rheumatoid Arthritis
Methylobacterium: Type 2 Diabetes, Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Peptostreptococcaceae incertae sedis: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Selenomonas: Aggressive periodontitis, Cystic Fibrosis, Chronic Obstructive Pulmonary Disease, Smoking, periodontitis, Obesity, Caries, Type 2 Diabetes, Sj?gren Syndrome, HIV infection, Systemic lupus erythematosus, Periodontal disease, Oral cancer, Colorectal cancer, Irritable Bowel Syndrome, Rheumatoid Arthritis, Crohn's Disease, Parkinson's Disease, Psoriasis, Cirrhosis
Mycoplasma: periodontitis, Type 2 Diabetes, Caries, Colorectal cancer, Obesity, Crohn's Disease, Parkinson's Disease, Cystic Fibrosis, Psoriasis, HIV infection, Cirrhosis, Ulcerative Colitis, Aggressive periodontitis, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Oral cancer, Rheumatoid Arthritis, Autism
Catonella: Type 2 Diabetes, Obesity, Cystic Fibrosis, periodontitis, Caries, Crohn's Disease, Parkinson's Disease, HIV infection, Colorectal cancer, Psoriasis, Cirrhosis, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Irritable Bowel Syndrome, Asthma, Ulcerative Colitis, Schizophrenia, Oral cancer, Rheumatoid Arthritis, Smoking
Aggregatibacter: Smoking, Sj?gren Syndrome, Systemic lupus erythematosus, Chronic Obstructive Pulmonary Disease, Behcet's Disease, Rheumatoid Arthritis, Cystic Fibrosis, Oral cancer, HIV infection, Chronic kidney disease, Obesity, Irritable Bowel Syndrome, Aggressive periodontitis, Periodontal disease, Type 2 Diabetes, Halitosis, Cirrhosis, Endometriosis, Asthma, Sicca syndrome
Staphylococcus: Systemic lupus erythematosus, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Cystic Fibrosis, Smoking, HIV infection, Oral cancer, Chronic kidney disease, Behcet's Disease, Cirrhosis, Obesity, Type 2 Diabetes, Irritable Bowel Syndrome, Asthma, Psoriasis, Sj?gren Syndrome, Crohn's Disease, Non-alcoholic fatty liver disease, Ulcerative Colitis, Autism spectrum disorders
Treponema: Chronic Obstructive Pulmonary Disease, Cystic Fibrosis, Smoking, Obesity, HIV infection, Systemic lupus erythematosus, Type 2 Diabetes, Sj?gren Syndrome, Rheumatoid Arthritis, Aggressive periodontitis, Oral cancer, Irritable Bowel Syndrome, Cirrhosis, Behcet's Disease, Psoriasis, Crohn's Disease, Asthma, Caries, periodontitis, Periodontal disease
Schlegelella: Type 2 Diabetes, periodontitis, Caries, Colorectal cancer, Parkinson's Disease, Crohn's Disease, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Oral cancer, Autism spectrum disorders
Moraxella: Sj?gren Syndrome, Smoking, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Systemic lupus erythematosus, Periodontal disease, Cystic Fibrosis, Behcet's Disease, Obesity, HIV infection, Halitosis, Rheumatoid Arthritis, Oral cancer, Clostridium difficile infection, Irritable Bowel Syndrome, Type 2 Diabetes, Chronic kidney disease, periodontitis, Caries, Cirrhosis
Capnocytophaga: Chronic Obstructive Pulmonary Disease, Cystic Fibrosis, Smoking, Obesity, Aggressive periodontitis, HIV infection, Type 2 Diabetes, Systemic lupus erythematosus, Sj?gren Syndrome, periodontitis, Oral cancer, Caries, Rheumatoid Arthritis, Irritable Bowel Syndrome, Periodontal disease, Cirrhosis, Colorectal cancer, Crohn's Disease, Psoriasis, Asthma
Helicobacter: Type 2 Diabetes, Cystic Fibrosis, Obesity, Crohn's Disease, Parkinson's Disease, Caries, Colorectal cancer, periodontitis, Psoriasis, HIV infection, Cirrhosis, Ulcerative Colitis, Asthma, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Schizophrenia, Rheumatoid Arthritis, Oral cancer, Aggressive periodontitis, Autism
Pandoraea: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Abiotrophia: periodontitis, Type 2 Diabetes, Caries, Obesity, Cystic Fibrosis, Colorectal cancer, Parkinson's Disease, Crohn's Disease, HIV infection, Psoriasis, Aggressive periodontitis, Cirrhosis, Chronic Obstructive Pulmonary Disease, Asthma, Irritable Bowel Syndrome, Ulcerative Colitis, Schizophrenia, Oral cancer, Smoking, Rheumatoid Arthritis
Propionibacterium: Smoking, Chronic Obstructive Pulmonary Disease, Sj?gren Syndrome, Aggressive periodontitis, Cystic Fibrosis, Systemic lupus erythematosus, Obesity, HIV infection, Oral cancer, Type 2 Diabetes, Irritable Bowel Syndrome, Rheumatoid Arthritis, Periodontal disease, Behcet's Disease, Cirrhosis, periodontitis, Caries, Psoriasis, Asthma, Chronic kidney disease
Aeromonas: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Ferribacter thermoautotrophicus: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Mannheimia: Parkinson's Disease, Colorectal cancer, Type 2 Diabetes, Crohn's Disease, periodontitis, Caries, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aerobic vaginitis, Uveitits, Aggressive periodontitis
Lyrodus pedicellatus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Nitrosomonas eutropha: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Calyptogena magnifica: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Fucophilus fucoidanolyticus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Dietzia maris: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Clostridium acetobutylicum: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Bifidobacterium breve: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Thermosipho: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Thiomicrospira crunogena: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Sphingobacterium: Type 2 Diabetes, Parkinson's Disease, Colorectal cancer, periodontitis, Caries, Crohn's Disease, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Hymenobacter: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Uveitits, Irritable Bowel Syndrome, Aerobic vaginitis, Breast cancer
Nodularia sphaerocarpa: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Aerobic vaginitis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Bifidobacterium thermacidophilum porcinum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Azoospermia, Irritable Bowel Syndrome
Mitrastema yamamotoi: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Symbiobacterium toebii: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Sphingopyxis flavimaris: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Corynebacterium jeikeium: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Streptococcus pneumoniae: Aggressive periodontitis, periodontitis, Obesity, Cystic Fibrosis, Caries, Type 2 Diabetes, Chronic Obstructive Pulmonary Disease, Smoking, Bacterial vaginosis, HIV infection, Periodontal disease, Sj?gren Syndrome, Colorectal cancer, Parkinson's Disease, Crohn's Disease, Systemic lupus erythematosus, Irritable Bowel Syndrome, Oral cancer, Psoriasis, Cirrhosis
Klebsiella pneumoniae: Type 2 Diabetes, Obesity, Cystic Fibrosis, HIV infection, Crohn's Disease, Cirrhosis, Caries, Parkinson's Disease, periodontitis, Chronic Obstructive Pulmonary Disease, Psoriasis, Colorectal cancer, Asthma, Irritable Bowel Syndrome, Ulcerative Colitis, Rheumatoid Arthritis, Oral cancer, Systemic lupus erythematosus, Smoking, Schizophrenia
