Collinsella aerofaciens: Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Bacterial Vaginosis, Colon cancer, Liver cirrhosis, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, New-onset untreated rheumatoid arthrits, Skin and mucosal infections, COPD, Inflammatory bowel disease(IBD), Whipple's disease
Porphyromonas: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Crohn's disease(CD), Periodontal, Ileal Crohn's disease(CD), Psoriasis, Colorectal carcinoma, Type 2 diabetes, Asthma, COPD, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Bacterial Vaginosis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Irritable bowel syndrome(IBS), Skin and mucosal infections
Pusillimonas: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Roseburia: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), COPD, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Rumen bacterium 8/94-32: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, Necrotizing Enterocolitis, New-onset untreated rheumatoid arthrits, Inflammatory bowel disease(IBD), Whipple's disease, Type 2 diabetes
Rumen bacterium R-7: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, Necrotizing Enterocolitis, New-onset untreated rheumatoid arthrits, Inflammatory bowel disease(IBD), Whipple's disease, Type 2 diabetes
Rumen bacterium R-9: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, Necrotizing Enterocolitis, New-onset untreated rheumatoid arthrits, Inflammatory bowel disease(IBD), Whipple's disease, Type 2 diabetes
Salmonella: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, Necrotizing Enterocolitis, New-onset untreated rheumatoid arthrits, Inflammatory bowel disease(IBD), Whipple's disease, Type 2 diabetes
Segmented filamentous bacterium: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, Necrotizing Enterocolitis, New-onset untreated rheumatoid arthrits, Inflammatory bowel disease(IBD), Whipple's disease, Type 2 diabetes
Serratia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Shigella: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Solobacterium: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Subdoligranulum: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), COPD, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Sutterella: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Swine fecal bacterium FPC67: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Swine fecal bacterium FPC70: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Swine fecal bacterium RF3E-Xyl1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Swine fecal bacterium SD-Pec1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Swine manure pit bacterium PPC108: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Tenericutes: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Terrahaemophilus: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Unidentified bacterium ZF3: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Verrucomicrobia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Verrucomicrobia bacterium MS-F-88: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Vibrio: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Yersinia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Staphylococcus epidermidis: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Cystic fibrosis, Atopic dermatitis, Type 1 diabetes, Colon cancer, Skin and mucosal infections, Obesity, New-onset untreated rheumatoid arthrits, Whipple's disease, Guttate psoriasis, Kidney stones, Diarrhea Irritable bowel syndrome(IBS), COPD, Type 2 diabetes, Recurrent wheeze, Atopic sensitisation, Allergic sensitization, Allergic asthma, Gastric and duodenal ulcer
Burkholderia: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Type 2 diabetes, COPD, Crohn's disease(CD), Asthma, Cystic fibrosis, Psoriasis, Clostridium difficile infection(CDI), Obesity, Type 1 diabetes, Colorectal carcinoma, Ulcerative colitis, Ileal Crohn's disease(CD), Periodontal, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits
Actinomyces: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Clostridium difficile infection(CDI), Periodontal, COPD, Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Bacterial Vaginosis, Skin and mucosal infections, Gastro-oesophageal reflux
Selenomonas: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Clostridium difficile infection(CDI), Periodontal, COPD, Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Bacterial Vaginosis, Skin and mucosal infections, Gastro-oesophageal reflux
Leptotrichia amnionii: Bacterial Vaginosis, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Type 1 diabetes, Irritable bowel syndrome(IBS), COPD, Crohn's disease(CD), Obesity, Atopic dermatitis, Skin and mucosal infections, Asthma, Necrotizing Enterocolitis, Psoriasis, Ulcerative colitis, Colorectal carcinoma, Clostridium difficile infection(CDI), Rheumatoid arthrits, Inflammatory bowel disease(IBD), Colon cancer
Verrucomicrobiaceae: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Clostridium difficile infection(CDI), Type 2 diabetes, Bacterial Vaginosis, Asthma, Psoriasis, COPD, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Acinetobacter: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Crohn's disease(CD), Obesity, COPD, Asthma, Necrotizing Enterocolitis, Skin and mucosal infections, Psoriasis, Atopic dermatitis, Periodontal, Ulcerative colitis, Colorectal carcinoma, New-onset untreated rheumatoid arthrits, Colon cancer, Rheumatoid arthrits
Corynebacterium: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Type 2 diabetes, Crohn's disease(CD), Obesity, COPD, Asthma, Necrotizing Enterocolitis, Skin and mucosal infections, Psoriasis, Atopic dermatitis, Periodontal, Ulcerative colitis, Colorectal carcinoma, New-onset untreated rheumatoid arthrits, Colon cancer, Rheumatoid arthrits
Prevotella copri: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 1 diabetes, Cystic fibrosis, Skin and mucosal infections, Atopic dermatitis, Obesity, New-onset untreated rheumatoid arthrits, Colon cancer, Whipple's disease, Crohn's disease(CD), Kidney stones, Type 2 diabetes, Diarrhea Irritable bowel syndrome(IBS), Asthma, Eczema, Guttate psoriasis, Allergic asthma, Allergy
Bacteroidales: Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Psoriasis, Asthma, Bacterial Vaginosis, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Type 1 diabetes, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Irritable bowel syndrome(IBS), Cystic fibrosis
Erysipelotrichales: Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Psoriasis, Asthma, Type 1 diabetes, Clostridium difficile infection(CDI), COPD, Bacterial Vaginosis, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Irritable bowel syndrome(IBS), Skin and mucosal infections
Tannerella: Liver cirrhosis, Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Psoriasis, COPD, Asthma, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Bacterial Vaginosis, Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Irritable bowel syndrome(IBS), Constipation Irritable bowel syndrome(IBS)
Alistipes finegoldii: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Infectious colitis, Colorectal carcinoma, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Alistipes putredinis: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Colorectal carcinoma, Infectious colitis, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Bacteroides eggerthii: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), Irritable bowel syndrome(IBS), COPD, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Infectious colitis, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Asthma, New-onset untreated rheumatoid arthrits, Obesity
Bacteroides finegoldii: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, COPD, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Infectious colitis, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Asthma, New-onset untreated rheumatoid arthrits, Obesity
Bacteroides sp. D20: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, COPD, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Infectious colitis, Asthma, Systemic inflammatory response syndrome, Obesity, New-onset untreated rheumatoid arthrits
Bilophila: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, COPD, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Infectious colitis, Asthma, Systemic inflammatory response syndrome, Obesity, New-onset untreated rheumatoid arthrits
Bilophila wadsworthia: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), COPD, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Infectious colitis, Ileal Crohn's disease(CD), Systemic inflammatory response syndrome, Asthma, Obesity, New-onset untreated rheumatoid arthrits
Eubacterium hallii: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Colorectal carcinoma, Infectious colitis, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Holdemania: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Colorectal carcinoma, Infectious colitis, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Lactobacillus salivarius: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Crohn's disease(CD), Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), COPD, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Infectious colitis, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Asthma, New-onset untreated rheumatoid arthrits, Obesity
Odoribacter splanchnicus: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Colorectal carcinoma, Infectious colitis, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Parabacteroides distasonis: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Infectious colitis, Colorectal carcinoma, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Parabacteroides merdae: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, COPD, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Infectious colitis, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Asthma, New-onset untreated rheumatoid arthrits, Obesity
Roseburia hominis: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, COPD, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Infectious colitis, Asthma, Systemic inflammatory response syndrome, Obesity, New-onset untreated rheumatoid arthrits
Roseburia intestinalis: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, COPD, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Infectious colitis, Systemic inflammatory response syndrome, Asthma, Obesity, New-onset untreated rheumatoid arthrits
Ruminococcus gnavus: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), Irritable bowel syndrome(IBS), COPD, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Infectious colitis, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Asthma, New-onset untreated rheumatoid arthrits, Obesity
Streptococcus anginosus: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Infectious colitis, Colorectal carcinoma, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Streptococcus parasanguinis: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, COPD, Periodontal, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, Constipation Irritable bowel syndrome(IBS), Infectious colitis, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Asthma, New-onset untreated rheumatoid arthrits, Obesity
Streptococcus salivarius: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Colorectal carcinoma, Infectious colitis, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Streptococcus vestibularis: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Colorectal carcinoma, Infectious colitis, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
Veillonella atypica: Liver cirrhosis, Type 1 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Crohn's disease(CD), COPD, Periodontal, Necrotizing Enterocolitis, Inflammatory bowel disease(IBD), Constipation Irritable bowel syndrome(IBS), Infectious colitis, Colorectal carcinoma, Systemic inflammatory response syndrome, Psoriasis, New-onset untreated rheumatoid arthrits, Asthma, Ileal Crohn's disease(CD), Obesity
